x_observed_cm-1,structural_frequency_cm-1,real_measured,imag_measured,real_fit,imag_fit,real_residual,imag_residual
2722.06,3314.9340659340655,0.692426,0.801759,0.01346892139517427,-0.015055186778575425,0.6789570786048257,0.8168141867785754
2722.85,3316.2362637362635,0.394397,0.687155,0.01495504064792006,-0.015310273095545848,0.3794419593520799,0.7024652730955459
2723.65,3317.554945054945,0.129137,0.497138,0.01646958843318718,-0.015581112261235125,0.11266741156681281,0.5127191122612351
2724.45,3318.873626373626,-0.0807764,0.262351,0.017994019909711854,-0.015865929159741055,-0.09877041990971186,0.27821692915974106
2725.25,3320.1923076923076,-0.250926,0.0199151,0.01952854807132267,-0.016166232057938892,-0.27045454807132263,0.0360813320579389
2726.05,3321.5109890109893,-0.42734,-0.208315,0.02107339525202192,-0.01648367142798761,-0.4484133952520219,-0.1918313285720124
2726.84,3322.813186813187,-0.683205,-0.40084,0.02260928867426846,-0.016815726281203466,-0.7058142886742684,-0.3840242737187965
2727.64,3324.131868131868,-1.13078,-0.454799,0.02417536353845616,-0.017172765932210107,-1.154955363538456,-0.4376262340677899
2728.44,3325.4505494505493,-1.71082,0.0496582,0.025752523771758074,-0.017552887304371767,-1.7365725237717582,0.06721108730437177
2729.24,3326.7692307692305,-1.37629,1.0662,0.02734108082820716,-0.017958485956072773,-1.403631080828207,1.084158485956073
2730.04,3328.0879120879117,-0.517705,1.15361,0.028941387536945022,-0.01839219977267692,-0.5466463875369449,1.172002199772677
2730.84,3329.4065934065934,-0.117826,0.85239,0.03055384909677973,-0.018856936528380067,-0.14837984909677973,0.87124693652838
2731.64,3330.725274725274,0.0277735,0.595889,0.032178936400450865,-0.01935590469528163,-0.004405436400450866,0.6152449046952816
2732.43,3332.027472527472,0.0784425,0.41093,0.033796639969443654,-0.01988568985556448,0.044645860030556345,0.4308156898555645
2733.23,3333.346153846154,0.0900192,0.275185,0.0354485609562844,-0.020463578389762302,0.05457063904371559,0.29564857838976233
2734.03,3334.6648351648355,0.0821504,0.171496,0.03711508325171652,-0.02108743635201979,0.045035316748283476,0.1925834363520198
2734.83,3335.9835164835163,0.0619737,0.0897028,0.038797137950605826,-0.021762056554398418,0.023176562049394174,0.11146485655439842
2735.63,3337.302197802198,0.0318063,0.0246982,0.04049584448015692,-0.022492749779144075,-0.008689544480156915,0.04719094977914408
2736.43,3338.6208791208787,-0.00754075,-0.0242871,0.042212552822973426,-0.023285404700957926,-0.049753302822973425,-0.0010016952990420727
2737.23,3339.9395604395604,-0.0528984,-0.0536816,0.04394889474949312,-0.024146554641921864,-0.09684729474949312,-0.02953504535807814
2738.03,3341.258241758242,-0.0918852,-0.0600021,0.04570684600162503,-0.02508345178101576,-0.13759204600162503,-0.034918648218984244
2738.83,3342.576923076923,-0.104851,-0.0570344,0.04748880179286333,-0.026104149417777542,-0.15233980179286333,-0.030930250582222457
2739.63,3343.8956043956046,-0.0952774,-0.077135,0.0492976685051513,-0.027217592824753112,-0.14457506850515128,-0.04991740717524688
2740.43,3345.2142857142853,-0.0907998,-0.131053,0.05113697508784654,-0.02843371909581946,-0.14193677508784652,-0.10261928090418054
2741.23,3346.532967032967,-0.104057,-0.20891,0.05301100842039304,-0.029763566179178358,-0.15706800842039303,-0.17914643382082165
2742.03,3347.8516483516487,-0.130294,-0.307476,0.05492497781105807,-0.03121939093590878,-0.18521897781105806,-0.2762566090640912
2742.83,3349.1703296703295,-0.156283,-0.434396,0.056885214894600106,-0.03281479553432161,-0.2131682148946001,-0.4015812044656784
2743.63,3350.489010989011,-0.155335,-0.600931,0.058899416486608805,-0.03456486070416165,-0.2142344164866088,-0.5663661392958383
2744.43,3351.807692307692,-0.0767727,-0.79893,0.060976939472956265,-0.03648628323462007,-0.13774963947295626,-0.7624437167653799
2745.23,3353.1263736263736,0.126648,-0.953646,0.06312915857150343,-0.03859751347390612,0.06351884142849658,-0.9150484865260938
2746.03,3354.4450549450553,0.391227,-0.950646,0.06536989979325826,-0.04091888629960985,0.32585710020674175,-0.9097271137003902
2746.83,3355.763736263736,0.571107,-0.807263,0.06771596461159886,-0.04347273584699611,0.5033910353884011,-0.7637902641530039
2747.63,3357.0824175824177,0.631678,-0.638234,0.07018776212296186,-0.046283479906724656,0.5614902378770381,-0.5919505200932753
2748.43,3358.4010989010985,0.621502,-0.498182,0.07281006865939148,-0.04937765395428252,0.5486919313406086,-0.4488043460457175
2749.23,3359.71978021978,0.575462,-0.386685,0.07561293605386396,-0.05278386678235092,0.49984906394613604,-0.3339011332176491
2750.03,3361.038461538462,0.496976,-0.295447,0.07863277049901762,-0.056532639121336895,0.41834322950098235,-0.23891436087866313
2750.83,3362.3571428571427,0.372711,-0.24177,0.08191360278019895,-0.06065607284334042,0.2907973972198011,-0.18111392715665958
2751.64,3363.692307692307,0.226671,-0.279833,0.08555575003919608,-0.06524664296365977,0.14111524996080393,-0.21458635703634021
2752.44,3365.010989010989,0.153896,-0.40773,0.08953395479625238,-0.07022456659319262,0.06436204520374762,-0.3375054334068074
2753.24,3366.32967032967,0.185343,-0.532623,0.09396788336884405,-0.07567585262158946,0.09137511663115595,-0.45694714737841047
2754.04,3367.6483516483513,0.275539,-0.607282,0.09894909739719014,-0.08162924011496134,0.17658990260280982,-0.5256527598850387
2754.84,3368.967032967033,0.394628,-0.62676,0.10458605859510488,-0.0881075224155285,0.2900419414048951,-0.5386524775844714
2755.64,3370.2857142857138,0.523434,-0.581607,0.11100616465512654,-0.09512384131185542,0.41242783534487343,-0.48648315868814457
2756.45,3371.6208791208787,0.626074,-0.465096,0.11845591045294826,-0.1027745350983138,0.5076180895470518,-0.3623214649016862
2757.25,3372.9395604395604,0.659977,-0.30399,0.12692281666318928,-0.11084809231390265,0.5330541833368108,-0.19314190768609735
2758.05,3374.258241758242,0.618498,-0.151972,0.13668365946684968,-0.11938446343578672,0.4818143405331503,-0.032587536564213274
2758.85,3375.576923076923,0.534334,-0.0421369,0.14794804115954985,-0.12829464968946125,0.3863859588404501,0.08615774968946124
2759.65,3376.8956043956046,0.440914,0.0270805,0.16093870721965067,-0.13744160905013414,0.27997529278034927,0.16452210905013415
