wavenumber_cm-1,real_raw,imag_raw,real_smooth,imag_smooth,real_water_model,imag_water_model,real_residual,imag_residual
2742.83,-0.156283,-0.434396,0.10891939705882353,-0.41108777647058825,-0.031606246850948254,0.0039278115907441895,0.1405256439097718,-0.41501558806133243
2743.63,-0.155335,-0.600931,0.13859685294117646,-0.42703835882352936,-0.03162068477235034,0.003915345288406663,0.1702175377135268,-0.430953704111936
2744.43,-0.0767727,-0.79893,0.16363270000000002,-0.4381023823529412,-0.03163515377247909,0.0039028553679924475,0.1952678537724791,-0.44200523772093364
2745.23,0.126648,-0.953646,0.18237130000000001,-0.4510336117647059,-0.031649653948059686,0.0038903417012057908,0.2140209539480597,-0.4549239534659117
2746.03,0.391227,-0.950646,0.1975917117647059,-0.47166276470588236,-0.0316641853961309,0.003877804158884301,0.22925589716083683,-0.47554056886476664
2746.83,0.571107,-0.807263,0.21409879411764704,-0.49845617647058826,-0.03167874821404542,0.003865242610992049,0.24577754233169247,-0.5023214190815803
2747.63,0.631678,-0.638234,0.23564813529411766,-0.5264696470588235,-0.03169334249946996,0.0038526569266125812,0.26734147779358763,-0.5303223039854361
2748.43,0.621502,-0.498182,0.2649825470588235,-0.5510490588235294,-0.03170796835038551,0.0038400469739419663,0.29669051540920904,-0.5548891057974713
2749.23,0.575462,-0.386685,0.30343713529411764,-0.567174411764706,-0.03172262586508746,0.0038274126202816642,0.3351597611592051,-0.5710018243849876
2750.03,0.496976,-0.295447,0.3494581352941176,-0.568980294117647,-0.031737315142185765,0.0038147537320314283,0.3811954504363034,-0.5727950478496784
2750.83,0.372711,-0.24177,0.39741766470588236,-0.5515131764705883,-0.031752036280605064,0.0038020701746820863,0.42916970098648743,-0.5553152466452703
2751.64,0.226671,-0.279833,0.4383159411764706,-0.5134568235294117,-0.03176697399599477,0.003789202800740862,0.47008291517246537,-0.5172460263301526
2752.44,0.153896,-0.40773,0.4622974705882353,-0.45983864117647055,-0.03178175955647203,0.0037764691853659584,0.49407923014470734,-0.4636151103618365
2753.24,0.185343,-0.532623,0.4652202352941176,-0.4023253176470588,-0.03179657727818364,0.003763710490115948,0.49701681257230124,-0.40608902813717473
2754.04,0.275539,-0.607282,0.45242982352941175,-0.35065763529411764,-0.031811427261317804,0.003750926576760829,0.48424125079072955,-0.3544085618708785
2754.84,0.394628,-0.62676,0.4314165882352941,-0.30699940000000003,-0.03182630960637767,0.0037381173061246105,0.4632428978416718,-0.31073751730612464
2755.64,0.523434,-0.581607,0.4065192941176471,-0.2697445176470588,-0.03184122441418137,0.0037252825380776912,0.43836051853182845,-0.2734698001851365
2756.45,0.626074,-0.465096,0.37945329411764706,-0.23701810588235295,-0.031856358834506694,0.003712261213601627,0.41130965295215377,-0.24073036709595458
2757.25,0.659977,-0.30399,0.3507956029411765,-0.20754169411764706,-0.031871339280472304,0.003699374703331454,0.3826669422216488,-0.2112410688209785
2758.05,0.618498,-0.151972,0.32061954411764704,-0.18024634117647056,-0.03188635249479984,0.003686462267668857,0.35250589661244686,-0.18393280344413943
