wavenumber_cm-1,experiment_smooth,fit_I+VI+VII,baseline_I+VI+VII,residual_I+VI+VII,component_I_I+VI+VII,component_VI_I+VI+VII,component_VII_I+VI+VII,fit_I+VI+VIII,baseline_I+VI+VIII,residual_I+VI+VIII,component_I_I+VI+VIII,component_VI_I+VI+VIII,component_VIII_I+VI+VIII,fit_I+VI+VII+VIII,baseline_I+VI+VII+VIII,residual_I+VI+VII+VIII,component_I_I+VI+VII+VIII,component_VI_I+VI+VII+VIII,component_VII_I+VI+VII+VIII,component_VIII_I+VI+VII+VIII
3343.1,0.1970394117647058,0.21634048072006826,0.4122051972998632,-0.01930106895536246,-0.0,-0.19586471657979496,-0.0,0.20569886839383228,0.14294318406720619,-0.008659456629126483,-0.00180917274469447,-0.039045812821767945,0.10361066989308851,0.20512491720738132,0.14908681380215236,-0.008085505442675528,-0.001568300479782313,-0.03855356726766537,-0.010148672290322324,0.10630864344299897
3344.0,0.1983782352941176,0.21602847972018085,0.41130002876399235,-0.01765024442606325,-0.0,-0.19527154904381147,-0.0,0.20569113161222968,0.14265995443098806,-0.007312896318112078,-0.0018146854482204724,-0.038972187922427064,0.10381805055188918,0.2049974410311747,0.14879052591627018,-0.006619205737057099,-0.0015745398928306781,-0.038457507734012866,-0.010215069202196104,0.10645403194394415
3344.9,0.1976964705882352,0.21551653348878508,0.4103948602281215,-0.017820062900549882,-0.0,-0.1948783267393364,-0.0,0.20585735377131945,0.14237672479476993,-0.00816088318308425,-0.0018172462299309408,-0.0388386034218597,0.10413647862834016,0.20500802301885648,0.148494238030388,-0.007311552430621288,-0.0015808915399567465,-0.03835972028892374,-0.010282660456567923,0.10673705727391687
3345.7,0.1989929411764705,0.2148049948800042,0.4095902659740144,-0.015812053703533696,-0.0,-0.1947852710940102,-0.0,0.20577590167771145,0.1421249651181317,-0.006782960501240942,-0.0018250983326584768,-0.03873373468183002,0.10420976957406827,0.20517129769639805,0.14823087102071508,-0.006178356519927541,-0.0015893379559759624,-0.03822968261109224,-0.01035397692206461,0.1071134241648158
3346.6,0.1991505882352941,0.21441277692810298,0.4086850974381435,-0.015262188692808876,-0.0,-0.19427232051004054,-0.0,0.20576914107934452,0.14184173548191353,-0.006618552844050413,-0.0018306305699352652,-0.03865984889952519,0.10441788506689144,0.2049559509003919,0.1479345831348329,-0.005805362665097791,-0.0015905172154638415,-0.03814745871115737,-0.010406627520520342,0.10716597121270054
3347.5,0.2009858823529411,0.21350760839223212,0.40777992890227266,-0.012521726039291026,-0.0,-0.19427232051004054,-0.0,0.20603689715235768,0.1415585058456954,-0.005051014799416581,-0.0018416559769872736,-0.038512599100843384,0.10483264638449293,0.20491185975329498,0.14763829524895072,-0.003925977400353886,-0.00159551564028159,-0.038035835632350606,-0.010483782045894403,0.10738869782287085
3348.3,0.2035729411764705,0.21323381282804274,0.40697533464816515,-0.009660871651572228,-0.0,-0.1937415218201224,-0.0,0.20601590420684687,0.141306746169057,-0.0024429630303763605,-0.0018454743601770563,-0.03842165654189206,0.104976288939859,0.2050646955148665,0.14737492823927764,-0.0014917543383959897,-0.001603343967201453,-0.03791055588208207,-0.010547626761596773,0.10775129388646915
3349.2,0.2015370588235294,0.21275089465000202,0.40607016611229474,-0.011213835826472618,-0.0,-0.1933192714622927,-0.0,0.20589828395404858,0.141023516532839,-0.004361225130519175,-0.0018475988881199164,-0.03833384457850886,0.10505621088783834,0.20500270112164748,0.14707864035339563,-0.0034656422981180768,-0.001603343967201453,-0.03783740968830186,-0.010598185838844598,0.10796300026259976
3350.1,0.2032535294117647,0.21195427444621961,0.4051649975764239,-0.008700745034454921,-0.0,-0.19321072313020424,-0.0,0.20616604002706174,0.14074028689662088,-0.0029125106152970426,-0.0018586242951719246,-0.03818659477982707,0.10547097220543986,0.20509732399923153,0.14678235246751345,-0.0018437945874668349,-0.0016097573430702587,-0.03771783821688654,-0.010683547203383827,0.10832611429505871
3351.0,0.20418,0.211451849416324,0.40425982904055296,-0.007271849416324,-0.0,-0.192807979624229,-0.0,0.20620625018685584,0.14045705726040272,-0.0020262501868558436,-0.0018603572179204195,-0.03810139785758292,0.10571094800195646,0.2051108405008994,0.14648606458163127,-0.0009308405008993936,-0.001611492962914754,-0.0376911173007414,-0.010744802755170771,0.10867218893809502
3351.8,0.2040482352941176,0.21079541434654003,0.40345523478644546,-0.0067471790524224196,-0.0,-0.19265982043990543,-0.0,0.2063073635992592,0.14020529758376435,-0.002259128305141578,-0.0018645672063045751,-0.03800784025749244,0.10597447347929187,0.20505151116558398,0.1462226975719582,-0.0010032758714663692,-0.0016157161709243644,-0.037626098461825616,-0.010789744157168863,0.10886037238354462
3352.7,0.2038329411764705,0.2102834681151445,0.40255006625057504,-0.006450526938674012,-0.0,-0.19226659813543054,-0.0,0.2064743682232772,0.13992206794754636,-0.002641427046806699,-0.0018679749156384974,-0.0379623286032724,0.10638260379464175,0.20522151002904448,0.14592640968607618,-0.0013885688525739903,-0.0016183504650624711,-0.037486804115583625,-0.010863275843632121,0.10926353076724656
3353.6,0.2056276470588235,0.20951647311324312,0.4016448977147042,-0.0038888260544196196,-0.0,-0.19212842460146107,-0.0,0.20646663144167468,0.1396388383113282,-0.0008389843828511823,-0.0018734876191645019,-0.037888703703931506,0.1065899844534425,0.2054082641151651,0.145630121800194,0.00021938294365839162,-0.0016225840948078704,-0.03734051172802313,-0.010945705381705945,0.10968694351950806
3354.5,0.2058217647058823,0.20912140211838354,0.4007397291788333,-0.0032996374125012495,-0.0,-0.1916183270604498,-0.0,0.20665425136183382,0.13935560867511007,-0.0008324866559515365,-0.0018753191408455417,-0.03776485883402026,0.10693882066158955,0.2053248672720096,0.14533383391431182,0.0004968974338726839,-0.0016267628100223898,-0.037322887031369406,-0.010983472197697889,0.10992415539678746
3355.3,0.2052976470588234,0.20831680786427598,0.39993513492472577,-0.0030191608054525865,-0.0,-0.1916183270604498,-0.0,0.20689469475820185,0.1391038489984717,-0.0015970476993784621,-0.0018826815045354646,-0.03763397012408088,0.10730749738834651,0.2053391113659637,0.14507046690463873,-4.1464307140304246e-05,-0.0016289974706766763,-0.03726165725538968,-0.011041648052043425,0.11020094723943472
3356.2,0.2052058823529411,0.2079424380183237,0.39902996638885535,-0.0027365556653826117,-0.0,-0.19108752837053167,-0.0,0.2069767693434412,0.13882061936225368,-0.001770886990500098,-0.0018856924926926681,-0.0375671468163015,0.1076089892901817,0.2055189009293565,0.14477417901875672,-0.00031301857641541364,-0.0016293237511740006,-0.03712038815322006,-0.011115387326607565,0.11060982114160144
3357.1,0.2034494117647058,0.207249821182847,0.3981247978529845,-0.003800409418141193,-0.0,-0.19087497667013753,-0.0,0.20696611154638092,0.13853738972603555,-0.0035166997816751255,-0.0018901229334071464,-0.03753823849929041,0.10785708325304293,0.20546900845287597,0.14447789113287454,-0.002019596688170172,-0.0016340748601848117,-0.037047241959439814,-0.011149093378106132,0.11082152751773218
3358.0,0.2052505882352941,0.2066628996365001,0.39721962931711363,-0.0014123114012060123,-0.0,-0.19055672968061352,-0.0,0.20724489302644586,0.1382541600898174,-0.0019943047911517575,-0.0018901229334071464,-0.03739098870060866,0.10827184457064429,0.20550431876768532,0.14418160324699236,-0.000253730532391222,-0.0016354108465454823,-0.03702025568546693,-0.011207027520279413,0.11118540957298481
