wavenumber_cm-1,raw_trace,finite,interp_trace,smooth_17,smooth_1,smooth_7,smooth_11,smooth_25,smooth_33
2710.1,inf,False,-0.43749999999998224,-0.7296276470588369,-0.43749999999998224,-0.18750285714285456,-0.5909109090909447,-1.5926868000000094,-0.6619778787878857
2710.9,-0.5,True,-0.5,-0.729627647058837,-0.5,-0.41964571428571174,-0.6954563636363993,-1.4898308000000091,-0.7537362121211951
2711.7,1.125,True,1.125,-0.8840394117647193,1.125,-0.7410742857142831,-0.720942727272711,-1.5138308000000091,-0.9219210606060436
2712.5,0.74998,True,0.74998,-1.1840394117647195,0.74998,-0.7089314285714261,-0.6673699999999837,-1.8363508000000093,-1.1643453030302862
2713.3,-3.5,True,-3.5,-1.9488041176470723,-3.5,-0.7489814285714055,-1.0764699999999836,-1.626354800000009,-1.6825574242424073
2714.1,-2.25,True,-2.25,-1.8600452941176366,-2.25,-0.8612242857142627,-1.4855609090908928,-1.4474757999999772,-1.5764968181818015
2714.9,-0.15,True,-0.15,-1.7850452941176367,-0.15,-1.6648099999999768,-1.636697272727258,-1.4294757999999772,-1.5300321717171521
2715.7,-inf,False,-0.7178499999998387,-2.2262511764705777,-0.7178499999998387,-2.468378571428548,-2.6822427272727127,-1.8894757999999774,-1.5147543939393768
2716.5,-1.2857,True,-1.2857,-2.0718394117646954,-1.2857,-2.2683785714285483,-2.68711545454544,-1.9534757999999774,-1.4056665151514982
2717.3,-4.5001,True,-4.5001,-2.047758529411709,-4.5001,-3.661378571428548,-2.8098409090908945,-1.8559757999999609,-1.2783907575757405
2718.1,-4.875,True,-4.875,-2.124229117647003,-4.875,-3.4868928571428337,-3.173522727272713,-1.7196424666666243,-1.2200574242424074
2718.9,-2.1,True,-2.1,-2.6904055882352385,-2.1,-3.4700571428571427,-2.7644318181818037,-1.6769757999999613,-1.321572575757559
2719.7,-12.001,True,-12.001,-2.7698161764705325,-12.001,-4.357885714285715,-2.753352272727186,-1.6379757999999611,-1.3632392424242257
2720.5,1.0714,True,1.0714,-2.446286764705826,1.0714,-3.393585714285714,-2.8517295454544738,-1.632475799999962,-1.6226998484848194
2721.3,-0.6,True,-0.6,-2.2237377450979783,-0.6,-2.7011749999998864,-3.507574999999928,-1.625475799999962,-1.6993998484848194
2722.1,-7.5005,True,-7.5005,-2.152169117647003,-7.5005,-2.6583178571427437,-3.153020454545383,-1.6844757999999618,-1.693718030303001
2722.8,2.25,True,2.25,-2.0746485294117183,2.25,-2.1581749999998867,-2.528020454545383,-1.7294749999999617,-1.6795134848484548
2723.7,-inf,False,-0.028124999999208634,-2.0166661764705416,-0.028124999999208634,-2.3969464285713156,-2.1977174242423443,-1.9494629999999615,-1.6662559090908795
2724.4,-1.8,True,-1.8,-1.7710720588234827,-1.8,-2.025517857142744,-1.0097477272726552,-2.0357069999999617,-1.5601953030302735
2725.2,-8.5,True,-8.5,-1.5048955882352475,-8.5,-0.7349702380951122,-1.0526022727272009,-2.0222069999999617,-1.548831666666637
2726.1,-0.6,True,-0.6,-1.4034249999999533,-0.6,-0.9040178571427441,-1.0253295454544733,-1.9897429999999672,-1.626103787878758
2726.8,2.0,True,2.0,-1.2268779411764241,2.0,-0.8142857142857143,-0.37301136363629217,-1.9383149999999671,-1.5314071212120914
2727.6,-inf,False,1.5333333333334218,-1.5490838235293654,1.5333333333334218,-0.5999999999999999,-0.6093749999999282,-1.6383109999999672,-1.5216677272726975
2728.4,-inf,False,1.0666666666665783,-1.5027602941176006,1.0666666666665783,0.5678571428571422,-0.6409090909090909,-1.3833109999999669,-1.5322737878787582
2729.2,0.6,True,0.6,-1.0560397058823048,0.6,0.6035714285714286,-1.2954272727272729,-1.3713109999999673,-1.5468843939393693
2730.0,-0.3,True,-0.3,-1.1883926470587753,-0.3,0.2642857142857143,-0.9232545454545457,-0.9062713999999673,-1.589741969696945
2730.8,-inf,False,-0.32500000000000473,-1.0102676470588219,-0.32500000000000473,-1.240433333333346,-0.8516636363636365,-1.0262713999999673,-1.4306480303030056
