wavenumber_cm-1,real,imag,abs_chi,intensity_abs2,phase_rad,imag_smooth,intensity_smooth
3755.05,0.00839527,-0.0168958,0.018866600542039893,0.0003559486160129,-1.1096438017282595,-0.016860558823529413,0.00032871016524411176
3755.97,0.00807773,-0.0170251,0.018844196771497054,0.0003551037519629,-1.1277886235752983,-0.016770670588235295,0.0003255090980166706
3756.89,0.00757861,-0.0170491,0.0186576295477775,0.0003481071403421,-1.1525116455565827,-0.016731376470588234,0.000323558196847453
3757.82,0.00699028,-0.0169621,0.01834603093010584,0.0003365768508884001,-1.1798926223860995,-0.016737570588235294,0.0003225029441709176
3758.74,0.00639926,-0.0167967,0.017974416803824264,0.00032307965943760005,-1.2067904840912511,-0.01677590588235294,0.00032176285719908235
3759.66,0.00586403,-0.0166126,0.017617188385236165,0.0003103653266009,-1.2314630635189259,-0.01682674117647059,0.00032064615120684707
3760.58,0.00540273,-0.0164765,0.017339681188040915,0.0003006645437029,-1.2539390232934604,-0.016867523529411767,0.0003184946026223612
3761.51,0.00499374,-0.0164411,0.017182759044972958,0.0002952472083976,-1.275916320311261,-0.016876817647058825,0.0003148179417898245
3762.43,0.00458807,-0.0165285,0.01715347482508719,0.00029424169857490007,-1.3000280983975216,-0.01683831764705882,0.00030938883957381164
3763.35,0.00412842,-0.016723,0.017225056769032722,0.0002967025806964,-1.3287649764817695,-0.016743923529411765,0.00030227571746775867
3764.28,0.00356887,-0.016975,0.017346107865365647,0.00030088745807689993,-1.3635716854766493,-0.01659520588235294,0.00029381405201737634
3765.2,0.00288975,-0.0172126,0.01745348829954918,0.00030462425382250016,-1.4044617639573784,-0.016402976470588235,0.0002845353932951166
3766.12,0.00210478,-0.0173577,0.017484846242915606,0.0003057198481384,-1.4501263076922182,-0.016184964705882352,0.00027507316765853834
3767.05,0.00126063,-0.017342,0.017387758682386293,0.0003023341519968999,-1.4982316542213492,-0.015962129411764704,0.000266063969225875
3767.97,0.000430279,-0.0171208,0.017126206020535925,0.00029330693265784095,-1.545669671256468,-0.015754435294117644,0.0002580551052812573
3768.9,-0.000297824,-0.0166819,0.016684558332331602,0.0002783744867449759,-1.5886475526049595,-0.015577094117647058,0.00025142899376615145
3769.82,-0.000833291,-0.0160509,0.016072515817403352,0.00025832576470068093,-1.62266529199096,-0.015438164705882353,0.0002463556122288161
3770.74,-0.001099,-0.0152911,0.015330542723922074,0.00023502554021000006,-1.6425448291471423,-0.015338170588235295,0.00024278755813382204
3771.67,-0.00104658,-0.0144969,0.014534628970372792,0.00021125543930640002,-1.6428646619256722,-0.015271288235294117,0.00024049140618796912
3772.59,-0.000669678,-0.0137812,0.013797461435484572,0.000190369942063684,-1.6193517235468253,-0.015227782352941175,0.00023911302477615736
3773.52,-1.1413e-05,-0.0132559,0.01325590491315357,0.00017571901506656897,-1.5716573016951254,-0.015196888235294118,0.0002382613563848338
3774.44,0.000837982,-0.0130085,0.013035462633996691,0.00016992328608232395,-1.5064671760447905,-0.0151694,0.00023759148601862793
3775.37,0.00175532,-0.0130818,0.013199039341649073,0.00017421463954239998,-1.4374127031525845,-0.015139576470588235,0.0002368734538066691
3776.29,0.00260831,-0.0134617,0.01371206213324969,0.00018802064794610002,-1.3794099790743177,-0.01510609411764706,0.0002360331909185608
3777.22,0.00328223,-0.0140793,0.014456822689059306,0.00020899972226289993,-1.3417624379455704,-0.015072023529411763,0.00023515891024121518
3778.14,0.003701,-0.0148286,0.01528348059049378,0.00023358477896000008,-1.3262080444122697,-0.01504375294117647,0.0002344662126914163
3779.07,0.00383987,-0.015586,0.016052040294520193,0.00025766799761689995,-1.3292402365020766,-0.015029082352941177,0.00023422850926543983
3779.99,0.00372381,-0.0162354,0.016656979740520193,0.00027745497407610017,-1.345332436432529,-0.01503469411764706,0.0002346826049651869
3780.92,0.0034171,-0.0166874,0.017033669339575664,0.00029014589117000005,-1.3688172503102052,-0.015063641176470589,0.00023593544466085251
3781.84,0.00300773,-0.0168904,0.017156108297422815,0.0002943320519129,-1.3945702054300937,-0.015113482352941177,0.000237897963643972
3782.77,0.00259044,-0.016835,0.01703313254787856,0.0002901276043936,-1.4181214667749713,-0.015175870588235293,0.00024027428943324707
3783.7,0.002251,-0.0165516,0.016703965504035263,0.00027902246356000004,-1.4356266721769493,-0.0152378,0.00024261232909970003
3784.62,0.00205299,-0.0161027,0.016233043929901134,0.00026351171523010005,-1.4439869264312513,-0.015284335294117646,0.0002444058504612765
3785.55,0.00202871,-0.0155703,0.01570190772976647,0.00024654990635410005,-1.4412326407618743,-0.015302035294117645,0.0002452179700836059
3786.47,0.00217528,-0.0150417,0.015198176929105677,0.00023098458196840006,-1.4271753987580713,-0.015281994117647057,0.00024478807038857064
3787.4,0.00245761,-0.0145923,0.014797806128007625,0.00021897506620210003,-1.4039438670308437,-0.015222047058823528,0.0002431023871345706
3788.33,0.002818,-0.0142733,0.014548821838554488,0.00021166821689,-1.3758716284723542,-0.015127617647058823,0.00024041348015752944
3789.25,0.00319086,-0.0141032,0.014459662436571609,0.0002090818377796,-1.3482916934425688,-0.015011135294117647,0.00023720812070424118
3790.18,0.0035187,-0.0140691,0.014502442018501574,0.00021032082450000002,-1.3257223381316143,-0.014890441176470587,0.00023414013003503532
3791.11,0.00376489,-0.0141346,0.01462741651393369,0.00021396131387210003,-1.3104803997768582,-0.014786364705882352,0.00023193826121550588
3792.03,0.00392023,-0.0142528,0.014782101037839649,0.0002185105110929,-1.3023838040807176,-0.014719935294117647,0.0002313074546207059
3792.96,0.00400195,-0.0143802,0.014926679330731935,0.00022280575584249996,-1.299368578559204,-0.014709611764705881,0.00023283807860020588
3793.89,0.00404688,-0.0144879,0.015042489293477993,0.00022627648414440005,-1.2984106300645992,-0.014768917647058823,0.00023693597816452943
3794.81,0.00410083,-0.0145669,0.0151331220274899,0.00022901138229890002,-1.2963814640352773,-0.014904888235294117,0.00024378385225985293
3795.74,0.00420758,-0.0146301,0.015223125679912125,0.0002317435554664,-1.2907564619811454,-0.015117617647058823,0.0002533389455614941
3796.67,0.00439921,-0.0147072,0.015351051444904352,0.0002356547804641,-1.2801475454871931,-0.015400899999999999,0.00026536225828017643
3797.6,0.00468958,-0.0148386,0.01556201177664379,0.0002421762105364,-1.2646903460310843,-0.015743835294117648,0.0002794720216417058
3798.52,0.00507154,-0.0150657,0.01589640948332673,0.00025269583446159996,-1.2460832978943412,-0.016132923529411765,0.0002952070406915941
3799.45,0.00551828,-0.0154223,0.016379827576882486,0.00026829875144839996,-1.227179294596223,-0.016554188235294115,0.0003120886610112588
3800.38,0.00598804,-0.0159272,0.017015649352334454,0.00028953232288159993,-1.211181534093718,-0.016994882352941176,0.00032967132707129997
3801.31,0.00643176,-0.0165785,0.01778241263011293,0.0003162141989475999,-1.2007139819761117,-0.017444494117647057,0.0003475754551188
3802.24,0.00680183,-0.0173532,0.018638627674507045,0.0003473984415888999,-1.197236658322259,-0.01789495294117647,0.0003654984580545705
3803.16,0.0070608,-0.0182087,0.019529763243060577,0.00038141165233,-1.2008767166156786,-0.018340176470588235,0.00038320558529407055
3804.09,0.00718824,-0.0190891,0.020397659990979356,0.00041606453310759995,-1.2106564618577567,-0.018774976470588234,0.0004004972160970823
3805.02,0.00718466,-0.0199331,0.021188388681671853,0.0004489478149255999,-1.2248524618627465,-0.019194123529411765,0.00041718075342214115
3805.95,0.00707141,-0.0206836,0.021859006115285753,0.00047781614834809997,-1.2413692299853276,-0.019591470588235294,0.0004330413833262588
3806.88,0.00688658,-0.0212961,0.022381886857599828,0.0005009488593063999,-1.258036855847857,-0.019959529411764706,0.00044782638731198236
3807.81,0.00667744,-0.0217446,0.02274677634553081,0.0005174158341135999,-1.2728522942892793,-0.02028975882352941,0.00046125509892384117
3808.74,0.0064913,-0.0220236,0.0229603121200475,0.0005271759326500002,-1.284169499693044,-0.020573482352941177,0.0004730513100347412
3809.66,0.00636675,-0.0221457,0.023042732781779596,0.0005309675340525001,-1.290852291274201,-0.02080331764705882,0.0004829922163467
3810.59,0.00632798,-0.0221357,0.0230224356958685,0.0005300325453704,-1.2923507301726507,-0.020974652941176473,0.0004909561976421529
3811.52,0.00638326,-0.0220217,0.022928176532764223,0.0005257012791176001,-1.2886659529273978,-0.021086941176470586,0.0004969590327420883
3812.45,0.00652749,-0.0218327,0.022787604415341688,0.0005192749149901,-1.2802777040279574,-0.021144299999999998,0.0005011604769029118
3813.38,0.00674742,-0.0215935,0.022623150065947936,0.0005118069189064001,-1.2679346104074463,-0.021155211764705882,0.0005038357250929883
3814.31,0.00702733,-0.0213227,0.022450855266980367,0.0005040409022189,-1.2524362593302534,-0.021131176470588233,0.0005053112417342765
3815.24,0.0073529,-0.0210362,0.022284228702156152,0.0004965868488500001,-1.2345353200883458,-0.021084476470588233,0.0005058769045152177
3816.17,0.00771263,-0.0207505,0.022137477538484374,0.0004900679117669002,-1.2149359501980432,-0.02102543529411765,0.0005056948646653824
3817.1,0.00809603,-0.0204857,0.022027473896270994,0.0004852096062509,-1.1944312822776595,-0.0209598,0.0005047314255038765
3818.03,0.00848996,-0.0202659,0.021972394580736986,0.00048278612361160004,-1.17407964287138,-0.020886911764705883,0.0005027354679700589
3818.96,0.00887367,-0.0201176,0.02198772041456094,0.0004834598490288999,-1.1553767063770222,-0.020799152941176468,0.0004992731259840883
3819.89,0.00921504,-0.0200642,0.022079154962126608,0.0004874890838416,-1.140253888083282,-0.020683064705882354,0.000493821612886353
3820.82,0.00946937,-0.0201186,0.022235715283230713,0.0004944270341568999,-1.1308807614402379,-0.020521629411764705,0.00048588536328381175
3821.75,0.0095825,-0.020275,0.022425430458521866,0.0005028999312500002,-1.129286426170224,-0.020297588235294116,0.0004751189450299295
3822.68,0.00949868,-0.0205022,0.02259568822989023,0.0005105651265823999,-1.1369368985197787,-0.01999708823529412,0.0004614240009921353
3823.61,0.00917258,-0.0207409,0.02267864979813393,0.0005143211566664001,-1.1544093111536142,-0.019612682352941176,0.00044498747398959994
3824.54,0.00858262,-0.0209078,0.02260082889861343,0.0005107974669043999,-1.181272431049934,-0.01914509411764706,0.00042625500408211177
3825.47,0.00774276,-0.0209066,0.02229430994620825,0.0004970362559776001,-1.2161085590280298,-0.01860335882352941,0.0004058480267701823
3826.41,0.00670867,-0.0206438,0.021706513575627476,0.00047117273160889993,-1.2565891822270787,-0.01800333529411765,0.000384448255282
3827.34,0.00557631,-0.0200482,0.020809266120074967,0.00043302555645609986,-1.2995084339233682,-0.017365046470588237,0.0003626819696665412
