sio2_wat_a_fre.d.real,sio2_wat_a_fre.d.imag
-0.0108857,-0.0385931
-0.00994453,-0.0375267
-0.00879712,-0.0367474
-0.0075531,-0.0362924
-0.00632116,-0.0361597
-0.00519647,-0.0363134
-0.00425099,-0.0366921
-0.00353705,-0.0372193
-0.00308503,-0.0378167
-0.00286182,-0.038415
-0.00284013,-0.038957
-0.00298319,-0.0394021
-0.00325167,-0.039725
-0.00360846,-0.0399128
-0.00402105,-0.0399612
-0.0044618,-0.0398698
-0.00490587,-0.0396407
-0.00532903,-0.0392771
-0.00570535,-0.0387844
-0.00600622,-0.0381728
-0.00620105,-0.0374602
-0.00626009,-0.0366753
-0.00615949,-0.0358582
-0.00588651,-0.0350602
-0.00544528,-0.0343383
-0.00486001,-0.0337486
-0.00417476,-0.0333376
-0.00344891,-0.0331336
-0.00274943,-0.0331407
-0.00214033,-0.0333384
-0.00167353,-0.0336833
-0.00138136,-0.0341169
-0.00127302,-0.0345738
-0.00133449,-0.0349916
-0.00153252,-0.0353184
-0.00182176,-0.0355238
-0.00215429,-0.0356026
-0.00247915,-0.0355482
-0.00276115,-0.0353809
-0.00298053,-0.035129
-0.00313346,-0.0348202
-0.00322772,-0.0344746
-0.00327595,-0.0341015
-0.00328815,-0.0336998
-0.00326606,-0.033263
-0.00320152,-0.032785
-0.00307729,-0.032268
-0.00287341,-0.0317265
-0.00257427,-0.0311892
-0.00217697,-0.0306956
-0.00169661,-0.0302889
-0.00116818,-0.0300062
-0.000642212,-0.029868
-0.000176154,-0.0298712
0.000177476,-0.0299872
0.000382977,-0.0301659
0.000429323,-0.0303455
0.000333355,-0.0304644
0.000136542,-0.0304728
-0.000102726,-0.0303427
-0.000319498,-0.0300726
-0.000454626,-0.029688
-0.00046515,-0.0292366
-0.000332663,-0.0287795
-6.69536e-05,-0.0283795
0.000295978,-0.0280892
0.000701019,-0.0279401
0.00108491,-0.0279366
0.00138977,-0.0280549
0.00157524,-0.0282493
0.00162615,-0.0284629
0.0015552,-0.0286539
0.00139583,-0.028784
0.0011924,-0.0288172
0.000991526,-0.0287565
0.000830266,-0.0286248
0.000729192,-0.0284578
0.000688712,-0.0282938
0.000691061,-0.0281653
0.00070546,-0.028091
0.000695602,-0.0280716
0.000628827,-0.0280896
0.000484363,-0.0281127
0.000258855,-0.0281012
-3.20176e-05,-0.0280171
-0.000356041,-0.0278329
-0.0006717,-0.0275379
-0.000935916,-0.0271404
-0.00111251,-0.0266667
-0.00117895,-0.0261557
-0.00112962,-0.0256524
-0.000976336,-0.0252004
-0.000745888,-0.0248355
-0.000474931,-0.0245802
-0.000204519,-0.024442
2.7285e-05,-0.0244127
0.00019017,-0.0244722
0.000265646,-0.0245924
0.000247254,-0.024743
0.000139658,-0.0248961
-4.44444e-05,-0.0250291
-0.000288075,-0.0251263
-0.000572744,-0.025178
-0.000880606,-0.0251799
-0.00119528,-0.0251315
-0.00150254,-0.0250347
-0.00178999,-0.0248934
-0.00204708,-0.0247133
-0.00226983,-0.0245023
-0.00244902,-0.0242682
-0.00257952,-0.0240202
-0.00266113,-0.0237679
-0.00269629,-0.0235198
-0.00269015,-0.0232829
-0.00264839,-0.0230618
-0.00257704,-0.0228595
-0.00248103,-0.0226778
-0.00236467,-0.0225184
-0.00223134,-0.0223835
-0.00208466,-0.0222768
